date,Model,CSPE
2010-04-01,Boosting 1,0.018481178048455057
2010-04-01,Boosting 5,0.09453096809242753
2010-04-01,Boosting 10,0.13481459617331512
2010-04-01,Boosting 25,0.1281820413826503
2010-04-01,Boosting 50,0.11105129492066539
2010-04-01,Boosting 100,0.10693856857352384
2010-04-01,Boosting 200,0.10726222343165183
2010-04-01,Boosting 300,0.10288743481168217
2010-04-01,Boosting CV,0.11737456229224529
2010-05-01,Screening 1,0.0956854934741417
2010-05-01,Screening 2,0.09927059225601292
2010-05-01,Screening 3,0.10631847942696496
2010-05-01,Screening 4,0.0949808605019835
2010-05-01,Screening 5,0.09643264079111838
2010-05-01,Screening 6,0.10665058764603987
2010-05-01,Screening 7,0.10549971484020239
2010-05-01,Screening 8,0.08745648964545272
2010-05-01,Screening 9,0.0844767160424875
2010-05-01,Screening 10,0.09593282395042298
2010-05-01,Screening 11,0.07268494915620011
2010-05-01,Screening 12,0.05207602268009139
2010-05-01,Screening 13,0.051954954864251314
2010-05-01,Screening 14,0.07021009856946056
2010-05-01,Screening 15,0.09606655461285636
2010-05-01,Screening CV,0.0810818876807354
2010-05-01,Boosting 1,0.018411080349920665
2010-05-01,Boosting 5,0.09390587820244178
2010-05-01,Boosting 10,0.13345031042299274
2010-05-01,Boosting 25,0.12457376308173983
2010-05-01,Boosting 50,0.10645084852411917
2010-05-01,Boosting 100,0.10071219871673773
2010-05-01,Boosting 200,0.09887056504501861
2010-05-01,Boosting 300,0.0925536995704228
2010-05-01,Boosting CV,0.11023820503964082
2010-06-01,Screening 1,0.09555607387470581
2010-06-01,Screening 2,0.09905630147917201
2010-06-01,Screening 3,0.10631959889284168
2010-06-01,Screening 4,0.09498869045073531
2010-06-01,Screening 5,0.09644083082637203
2010-06-01,Screening 6,0.10632751944347488
2010-06-01,Screening 7,0.10523099263480219
2010-06-01,Screening 8,0.087187717591712
2010-06-01,Screening 9,0.08407406876530187
2010-06-01,Screening 10,0.09564091065502234
2010-06-01,Screening 11,0.0725478644856435
2010-06-01,Screening 12,0.05208392520718352
2010-06-01,Screening 13,0.051954755174480796
2010-06-01,Screening 14,0.07021195372104444
2010-06-01,Screening 15,0.09603362174416592
2010-06-01,Screening CV,0.08078997438533476
2010-06-01,Boosting 1,0.018405187279779835
2010-06-01,Boosting 5,0.0939140346028547
2010-06-01,Boosting 10,0.13344842728414555
2010-06-01,Boosting 25,0.12458157648590566
2010-06-01,Boosting 50,0.10645715073047053
2010-06-01,Boosting 100,0.10071756089806662
2010-06-01,Boosting 200,0.09887481775291822
2010-06-01,Boosting 300,0.09255730431205285
2010-06-01,Boosting CV,0.11024163937394732
2010-07-01,Screening 1,0.09548520264672976
2010-07-01,Screening 2,0.09789460415213298
2010-07-01,Screening 3,0.10499548556705163
2010-07-01,Screening 4,0.09332991579240635
2010-07-01,Screening 5,0.0948104961626721
2010-07-01,Screening 6,0.105482333013924
2010-07-01,Screening 7,0.10278005279979402
2010-07-01,Screening 8,0.08476375640747
2010-07-01,Screening 9,0.0818123188066658
2010-07-01,Screening 10,0.093127316544663
2010-07-01,Screening 11,0.06778960108714986
2010-07-01,Screening 12,0.046069828617592644
2010-07-01,Screening 13,0.04557591921554729
2010-07-01,Screening 14,0.06380399588879127
2010-07-01,Screening 15,0.08854392453067526
2010-07-01,Screening CV,0.08071910315735871
2010-07-01,Boosting 1,0.018399795375283187
2010-07-01,Boosting 5,0.09378690643419371
2010-07-01,Boosting 10,0.13316337734433173
2010-07-01,Boosting 25,0.12388325196329075
2010-07-01,Boosting 50,0.10522562611154182
2010-07-01,Boosting 100,0.0991313446769327
2010-07-01,Boosting 200,0.09687194737002008
2010-07-01,Boosting 300,0.09081777615515058
2010-07-01,Boosting CV,0.11011451120528634
